sqrtN_dJ_N32,sqrtN_dJ_N64,sqrtN_dJ_N128
2.680820764912240309e-03,4.679283756206381595e-04,1.539455651291911419e-04
-2.776432740001795853e-04,-2.623708036273500466e-03,1.962059311535509134e-03
-2.272652924127524943e-03,-5.109199768587244228e-03,-2.629529950154008665e-03
-1.925596358578932727e-03,-4.860237405870271310e-03,-4.219379783616778769e-03
-6.887890498338517832e-03,3.007735352503482229e-04,-5.323390101740248931e-03
-3.576516108483664830e-03,-3.126612447054019639e-03,1.454397076703555685e-03
-1.948957042662022646e-03,-1.205701295604474921e-03,2.202307527944889765e-03
7.158568930107939588e-04,-6.818473548373900350e-03,-6.170732252056629211e-04
-2.763146730921919956e-03,2.674008309798248106e-03,-3.394832167908845653e-03
2.563811920473656105e-03,-4.458741639105534560e-03,3.696598529889652063e-04
-4.960045748132085094e-04,3.245131587310823296e-03,5.222107671497724750e-03
-6.949008975435949469e-03,1.966272038779040554e-03,-4.453472206293396848e-04
-4.577148966704637847e-03,-1.800456722160254097e-03,-4.723250327100132751e-05
-1.395267867102467467e-03,-2.825476220600156574e-03,-3.296250872761296961e-03
-3.701481852301474577e-03,1.220569345344937884e-03,-3.707433041318730985e-03
-4.595470146246667491e-03,2.589344952801830857e-03,-1.600060311293543397e-03
-4.253998399505898461e-04,-1.296362843643816820e-04,1.867474708097192253e-03
-3.013337406084958241e-03,-2.466464768944715003e-03,7.036495351918681078e-03
-4.645079931130708870e-03,-1.193564022981943862e-03,9.236015849827950829e-04
-1.444838422740714985e-03,-1.067758016018438560e-03,4.518367653995085864e-04
-2.171951203575162026e-03,2.552820011372913811e-03,1.068819397224607740e-03
1.683805455017572256e-03,2.252615394171764152e-03,7.191600455257518348e-04
-1.633827702409532904e-03,-9.749588923029239851e-04,-4.250105481632609344e-03
-2.588120035950451994e-03,1.782183156631367282e-03,4.505615575458361984e-04
-2.844897373839045535e-03,-7.497711904468074007e-03,1.195999079969397314e-03
-1.567994314325856864e-03,1.642575825663739053e-03,-4.259014906090830498e-04
1.133671247236606562e-03,-3.269775385146361790e-03,-1.376769166574954044e-03
